date_of_plating,day_ID,dilution,salinity,well,competition,pair,bio_rep,total_count_1,total_count_2,total_volume,dil_factor,rep,salt,total_count,CFU_1,sd_CFU_1,CFU_2,sd_CFU_2,CFU_total,sd_CFU_total,ratio_strain1,ratio_strain2,strain1,strain2,ratio_fast
2024-10-25,D0,d5,16,C6,50-50,40-39,3,14,7,30,100000,3,16,21,46666666.666666664,12472191.28924647,23333333.333333332,8819171.03688197,70000000,15275252.316519467,0.6666666666666666,0.3333333333333333,40,39,0.6666666666666666
2024-10-25,D0,d5,16,C7,5-95,40-39,1,6,27,30,100000,1,16,33,20000000,8164965.80927726,90000000,17320508.075688772,110000000,19148542.15512676,0.18181818181818182,0.8181818181818182,40,39,0.18181818181818182
2024-10-25,D0,d5,16,C8,5-95,40-39,2,4,47,30,100000,2,16,51,13333333.333333334,6666666.666666667,156666666.66666666,22852182.001336813,170000000,23804761.428476166,0.0784313725490196,0.9215686274509803,40,39,0.0784313725490196
2024-10-25,D0,d5,16,C9,5-95,40-39,3,4,42,30,100000,3,16,46,13333333.333333334,6666666.666666667,140000000,21602468.99469287,153333333.33333334,22607766.61041756,0.08695652173913043,0.9130434782608695,40,39,0.08695652173913043
2024-10-25,D0,d5,16,D1,95-5,40-II.F2,1,51,4,30,100000,1,16,55,170000000,23804761.428476166,13333333.333333334,6666666.666666667,183333333.33333334,24720661.62365221,0.9272727272727272,0.07272727272727272,40,II.F2,0.9272727272727272
2024-10-25,D0,d5,16,D10,100,25,1,191,0,30,100000,1,16,191,636666666.6666666,46067583.20361752,0,0,636666666.6666666,46067583.20361752,1,0,25,25,1
2024-10-25,D0,d5,16,D11,100,25,2,144,0,30,100000,2,16,144,480000000,40000000,0,0,480000000,40000000,1,0,25,25,1
2024-10-25,D0,d5,16,D12,100,25,3,182,0,30,100000,3,16,182,606666666.6666666,44969125.21077347,0,0,606666666.6666666,44969125.21077347,1,0,25,25,1
2024-10-25,D0,d5,16,D2,95-5,40-II.F2,2,51,10,30,100000,2,16,61,170000000,23804761.428476166,33333333.333333332,10540925.533894598,203333333.33333334,26034165.586355515,0.8360655737704918,0.16393442622950818,40,II.F2,0.8360655737704918
2024-10-25,D0,d5,16,D3,95-5,40-II.F2,3,54,4,30,100000,3,16,58,180000000,24494897.42783178,13333333.333333334,6666666.666666667,193333333.33333334,25385910.352879696,0.9310344827586207,0.06896551724137931,40,II.F2,0.9310344827586207
2024-10-25,D0,d5,16,D4,50-50,40-II.F2,1,18,14,30,100000,1,16,32,60000000,14142135.62373095,46666666.666666664,12472191.28924647,106666666.66666667,18856180.831641268,0.5625,0.4375,40,II.F2,0.5625
2024-10-25,D0,d5,16,D5,50-50,40-II.F2,2,33,18,30,100000,2,16,51,110000000,19148542.15512676,60000000,14142135.62373095,170000000,23804761.428476166,0.6470588235294118,0.35294117647058826,40,II.F2,0.6470588235294118
2024-10-25,D0,d5,16,D6,50-50,40-II.F2,3,15,17,30,100000,3,16,32,50000000,12909944.487358058,56666666.666666664,13743685.418725537,106666666.66666667,18856180.831641268,0.46875,0.53125,40,II.F2,0.46875
2024-10-25,D0,d5,16,D7,5-95,40-II.F2,1,1,66,30,100000,1,16,67,3333333.3333333335,3333333.3333333335,220000000,27080128.015453205,223333333.33333334,27284509.23957484,0.014925373134328358,0.9850746268656716,40,II.F2,0.014925373134328358
2024-10-25,D0,d5,16,D8,5-95,40-II.F2,2,2,81,30,100000,2,16,83,6666666.666666667,4714045.207910317,270000000,30000000,276666666.6666667,30368111.930481,0.024096385542168676,0.9759036144578314,40,II.F2,0.024096385542168676
2024-10-25,D0,d5,16,D9,5-95,40-II.F2,3,0,57,30,100000,3,16,57,0,0,190000000,25166114.784235835,190000000,25166114.784235835,0,1,40,II.F2,0
2024-10-25,D0,d5,16,E1,95-5,6-25,1,69,2,30,100000,1,16,71,230000000,27688746.20972692,6666666.666666667,4714045.207910317,236666666.66666666,28087165.910587862,0.971830985915493,0.028169014084507043,6,25,0.971830985915493
2024-10-25,D0,d5,16,E10,100,32,1,32,0,30,100000,1,16,32,106666666.66666667,18856180.831641268,0,0,106666666.66666667,18856180.831641268,1,0,32,32,1
2024-10-25,D0,d5,16,E11,100,32,2,27,0,30,100000,2,16,27,90000000,17320508.075688772,0,0,90000000,17320508.075688772,1,0,32,32,1
2024-10-25,D0,d5,16,E12,100,32,3,34,0,30,100000,3,16,34,113333333.33333333,19436506.316151004,0,0,113333333.33333333,19436506.316151004,1,0,32,32,1
2024-10-25,D0,d5,16,E2,95-5,6-25,2,72,0,30,100000,2,16,72,240000000,28284271.2474619,0,0,240000000,28284271.2474619,1,0,6,25,1
2024-10-25,D0,d5,16,E3,95-5,6-25,3,67,4,30,100000,3,16,71,223333333.33333334,27284509.23957484,13333333.333333334,6666666.666666667,236666666.66666666,28087165.910587862,0.9436619718309859,0.056338028169014086,6,25,0.9436619718309859
2024-10-25,D0,d5,16,E4,50-50,6-25,1,5,26,30,100000,1,16,31,16666666.666666666,7453559.924999299,86666666.66666667,16996731.711975947,103333333.33333333,18559214.54276674,0.16129032258064516,0.8387096774193549,6,25,0.16129032258064516
2024-10-25,D0,d5,16,E5,50-50,6-25,2,11,34,30,100000,2,16,45,36666666.666666664,11055415.967851333,113333333.33333333,19436506.316151004,150000000,22360679.774997897,0.24444444444444444,0.7555555555555555,6,25,0.24444444444444444
2024-10-25,D0,d5,16,E6,50-50,6-25,3,16,35,30,100000,3,16,51,53333333.333333336,13333333.333333334,116666666.66666667,19720265.94366539,170000000,23804761.428476166,0.3137254901960784,0.6862745098039216,6,25,0.3137254901960784
2024-10-25,D0,d5,16,E7,5-95,6-25,1,1,131,30,100000,1,16,132,3333333.3333333335,3333333.3333333335,436666666.6666667,38151743.80753199,440000000,38297084.31025352,0.007575757575757576,0.9924242424242424,6,25,0.007575757575757576
2024-10-25,D0,d5,16,E8,5-95,6-25,2,1,152,30,100000,2,16,153,3333333.3333333335,3333333.3333333335,506666666.6666667,41096093.35312651,510000000,41231056.2561766,0.006535947712418301,0.9934640522875817,6,25,0.006535947712418301
2024-10-25,D0,d5,16,E9,5-95,6-25,3,1,197,30,100000,3,16,198,3333333.3333333335,3333333.3333333335,656666666.6666666,46785562.825394,660000000,46904157.598234296,0.005050505050505051,0.9949494949494949,6,25,0.005050505050505051
2024-10-25,D0,d5,16,F1,95-5,2-25,1,80,1,30,100000,1,16,81,266666666.66666666,29814239.699997198,3333333.3333333335,3333333.3333333335,270000000,30000000,0.9876543209876543,0.012345679012345678,2,25,0.9876543209876543
2024-10-25,D0,d5,16,F10,100,39,1,52,0,30,100000,1,16,52,173333333.33333334,24037008.503093258,0,0,173333333.33333334,24037008.503093258,1,0,39,39,1
2024-10-25,D0,d5,16,F11,100,39,2,22,0,30,100000,2,16,22,73333333.33333333,15634719.199411433,0,0,73333333.33333333,15634719.199411433,1,0,39,39,1
2024-10-25,D0,d5,16,F12,100,39,3,26,0,30,100000,3,16,26,86666666.66666667,16996731.711975947,0,0,86666666.66666667,16996731.711975947,1,0,39,39,1
2024-10-25,D0,d5,16,F2,95-5,2-25,2,91,0,30,100000,2,16,91,303333333.3333333,31797973.380564857,0,0,303333333.3333333,31797973.380564857,1,0,2,25,1
2024-10-25,D0,d5,16,F3,95-5,2-25,3,70,0,30,100000,3,16,70,233333333.33333334,27888667.551135853,0,0,233333333.33333334,27888667.551135853,1,0,2,25,1
2024-10-25,D0,d5,16,F4,50-50,2-25,1,22,14,30,100000,1,16,36,73333333.33333333,15634719.199411433,46666666.666666664,12472191.28924647,120000000,20000000,0.6111111111111112,0.3888888888888889,2,25,0.6111111111111112
2024-10-25,D0,d5,16,F5,50-50,2-25,2,34,7,30,100000,2,16,41,113333333.33333333,19436506.316151004,23333333.333333332,8819171.03688197,136666666.66666666,21343747.458109498,0.8292682926829268,0.17073170731707318,2,25,0.8292682926829268
2024-10-25,D0,d5,16,F6,50-50,2-25,3,41,5,30,100000,3,16,46,136666666.66666666,21343747.458109498,16666666.666666666,7453559.924999299,153333333.33333334,22607766.61041756,0.8913043478260869,0.10869565217391304,2,25,0.8913043478260869
2024-10-25,D0,d5,16,F7,5-95,2-25,1,18,141,30,100000,1,16,159,60000000,14142135.62373095,470000000,39581140.29012639,530000000,42031734.04306164,0.11320754716981132,0.8867924528301887,2,25,0.11320754716981132
2024-10-25,D0,d5,16,F8,5-95,2-25,2,36,90,30,100000,2,16,126,120000000,20000000,300000000,31622776.601683795,420000000,37416573.86773941,0.2857142857142857,0.7142857142857143,2,25,0.2857142857142857
2024-10-25,D0,d5,16,F9,5-95,2-25,3,2,186,30,100000,3,16,188,6666666.666666667,4714045.207910317,620000000,45460605.65661952,626666666.6666666,45704364.002673626,0.010638297872340425,0.9893617021276596,2,25,0.010638297872340425
2024-10-25,D0,d5,16,G1,95-5,2-32,1,77,1,30,100000,1,16,78,256666666.66666666,29249881.291307077,3333333.3333333335,3333333.3333333335,260000000,29439202.887759496,0.9871794871794872,0.01282051282051282,2,32,0.01282051282051282
2024-10-25,D0,d5,16,G10,100,40,1,45,0,30,100000,1,16,45,150000000,22360679.774997897,0,0,150000000,22360679.774997897,1,0,40,40,1
2024-10-25,D0,d5,16,G11,100,40,2,27,0,30,100000,2,16,27,90000000,17320508.075688772,0,0,90000000,17320508.075688772,1,0,40,40,1
2024-10-25,D0,d5,16,G12,100,40,3,45,0,30,100000,3,16,45,150000000,22360679.774997897,0,0,150000000,22360679.774997897,1,0,40,40,1
2024-10-25,D0,d5,16,G2,95-5,2-32,2,89,2,30,100000,2,16,91,296666666.6666667,31446603.773522012,6666666.666666667,4714045.207910317,303333333.3333333,31797973.380564857,0.978021978021978,0.02197802197802198,2,32,0.02197802197802198
2024-10-25,D0,d5,16,G3,95-5,2-32,3,77,7,30,100000,3,16,84,256666666.66666666,29249881.291307077,23333333.333333332,8819171.03688197,280000000,30550504.633038934,0.9166666666666666,0.08333333333333333,2,32,0.08333333333333333
2024-10-25,D0,d5,16,G4,50-50,2-32,1,19,13,30,100000,1,16,32,63333333.333333336,14529663.14513558,43333333.333333336,12018504.251546629,106666666.66666667,18856180.831641268,0.59375,0.40625,2,32,0.40625
2024-10-25,D0,d5,16,G5,50-50,2-32,2,19,19,30,100000,2,16,38,63333333.333333336,14529663.14513558,63333333.333333336,14529663.14513558,126666666.66666667,20548046.676563255,0.5,0.5,2,32,0.5
2024-10-25,D0,d5,16,G6,50-50,2-32,3,22,19,30,100000,3,16,41,73333333.33333333,15634719.199411433,63333333.333333336,14529663.14513558,136666666.66666666,21343747.458109498,0.5365853658536586,0.4634146341463415,2,32,0.4634146341463415
2024-10-25,D0,d5,16,G7,5-95,2-32,1,3,50,30,100000,1,16,53,10000000,5773502.691896257,166666666.66666666,23570226.03955159,176666666.66666666,24267032.964268394,0.05660377358490566,0.9433962264150944,2,32,0.9433962264150944
2024-10-25,D0,d5,16,G8,5-95,2-32,2,5,62,30,100000,2,16,67,16666666.666666666,7453559.924999299,206666666.66666666,26246692.913372703,223333333.33333334,27284509.23957484,0.07462686567164178,0.9253731343283582,2,32,0.9253731343283582
2024-10-25,D0,d5,16,G9,5-95,2-32,3,5,69,30,100000,3,16,74,16666666.666666666,7453559.924999299,230000000,27688746.20972692,246666666.66666666,28674417.55680876,0.06756756756756757,0.9324324324324325,2,32,0.9324324324324325
2024-10-25,D0,d5,16,H1,95-5,2-II.F2,1,68,3,30,100000,1,16,71,226666666.66666666,27487370.837451074,10000000,5773502.691896257,236666666.66666666,28087165.910587862,0.9577464788732394,0.04225352112676056,2,II.F2,0.9577464788732394
2024-10-25,D0,d5,16,H10,100,II.F2,1,44,0,30,100000,1,16,44,146666666.66666666,22110831.935702667,0,0,146666666.66666666,22110831.935702667,1,0,II.F2,II.F2,1
2024-10-25,D0,d5,16,H11,100,II.F2,2,26,0,30,100000,2,16,26,86666666.66666667,16996731.711975947,0,0,86666666.66666667,16996731.711975947,1,0,II.F2,II.F2,1
2024-10-25,D0,d5,16,H12,100,II.F2,3,22,0,30,100000,3,16,22,73333333.33333333,15634719.199411433,0,0,73333333.33333333,15634719.199411433,1,0,II.F2,II.F2,1
2024-10-25,D0,d5,16,H2,95-5,2-II.F2,2,79,1,30,100000,2,16,80,263333333.33333334,29627314.7243853,3333333.3333333335,3333333.3333333335,266666666.66666666,29814239.699997198,0.9875,0.0125,2,II.F2,0.9875
2024-10-25,D0,d5,16,H3,95-5,2-II.F2,3,68,0,30,100000,3,16,68,226666666.66666666,27487370.837451074,0,0,226666666.66666666,27487370.837451074,1,0,2,II.F2,1
2024-10-25,D0,d5,16,H4,50-50,2-II.F2,1,31,12,30,100000,1,16,43,103333333.33333333,18559214.54276674,40000000,11547005.383792514,143333333.33333334,21858128.414340004,0.7209302325581395,0.27906976744186046,2,II.F2,0.7209302325581395
2024-10-25,D0,d5,16,H5,50-50,2-II.F2,2,29,14,30,100000,2,16,43,96666666.66666667,17950549.35711501,46666666.666666664,12472191.28924647,143333333.33333334,21858128.414340004,0.6744186046511628,0.32558139534883723,2,II.F2,0.6744186046511628
2024-10-25,D0,d5,16,H6,50-50,2-II.F2,3,26,8,30,100000,3,16,34,86666666.66666667,16996731.711975947,26666666.666666668,9428090.415820634,113333333.33333333,19436506.316151004,0.7647058823529411,0.23529411764705882,2,II.F2,0.7647058823529411
2024-10-25,D0,d5,16,H7,5-95,2-II.F2,1,5,55,30,100000,1,16,60,16666666.666666666,7453559.924999299,183333333.33333334,24720661.62365221,200000000,25819888.974716116,0.08333333333333333,0.9166666666666666,2,II.F2,0.08333333333333333
2024-10-25,D0,d5,16,H8,5-95,2-II.F2,2,4,62,30,100000,2,16,66,13333333.333333334,6666666.666666667,206666666.66666666,26246692.913372703,220000000,27080128.015453205,0.06060606060606061,0.9393939393939394,2,II.F2,0.06060606060606061
2024-10-25,D0,d5,16,H9,5-95,2-II.F2,3,6,50,30,100000,3,16,56,20000000,8164965.80927726,166666666.66666666,23570226.03955159,186666666.66666666,24944382.57849294,0.10714285714285714,0.8928571428571429,2,II.F2,0.10714285714285714
2024-10-25,D0,d5,31,A1,95-5,40-2,1,58,5,30,100000,1,31,63,193333333.33333334,25385910.352879696,16666666.666666666,7453559.924999299,210000000,26457513.110645905,0.9206349206349206,0.07936507936507936,40,2,0.07936507936507936
2024-10-25,D0,d5,31,A10,100,2,1,66,0,30,100000,1,31,66,220000000,27080128.015453205,0,0,220000000,27080128.015453205,1,0,2,2,1
2024-10-25,D0,d5,31,A11,100,2,2,34,0,30,100000,2,31,34,113333333.33333333,19436506.316151004,0,0,113333333.33333333,19436506.316151004,1,0,2,2,1
2024-10-25,D0,d5,31,A12,100,2,3,22,0,30,100000,3,31,22,73333333.33333333,15634719.199411433,0,0,73333333.33333333,15634719.199411433,1,0,2,2,1
2024-10-25,D0,d5,31,A2,95-5,40-2,2,70,11,30,100000,2,31,81,233333333.33333334,27888667.551135853,36666666.666666664,11055415.967851333,270000000,30000000,0.8641975308641975,0.13580246913580246,40,2,0.13580246913580246
2024-10-25,D0,d5,31,A3,95-5,40-2,3,56,1,30,100000,3,31,57,186666666.66666666,24944382.57849294,3333333.3333333335,3333333.3333333335,190000000,25166114.784235835,0.9824561403508771,0.017543859649122806,40,2,0.017543859649122806
2024-10-25,D0,d5,31,A4,50-50,40-2,1,10,19,30,100000,1,31,29,33333333.333333332,10540925.533894598,63333333.333333336,14529663.14513558,96666666.66666667,17950549.35711501,0.3448275862068966,0.6551724137931034,40,2,0.6551724137931034
2024-10-25,D0,d5,31,A5,50-50,40-2,2,8,18,30,100000,2,31,26,26666666.666666668,9428090.415820634,60000000,14142135.62373095,86666666.66666667,16996731.711975947,0.3076923076923077,0.6923076923076923,40,2,0.6923076923076923
2024-10-25,D0,d5,31,A6,50-50,40-2,3,5,18,30,100000,3,31,23,16666666.666666666,7453559.924999299,60000000,14142135.62373095,76666666.66666667,15986105.077709062,0.21739130434782608,0.782608695652174,40,2,0.782608695652174
2024-10-25,D0,d5,31,A7,5-95,40-2,1,3,68,30,100000,1,31,71,10000000,5773502.691896257,226666666.66666666,27487370.837451074,236666666.66666666,28087165.910587862,0.04225352112676056,0.9577464788732394,40,2,0.9577464788732394
2024-10-25,D0,d5,31,A8,5-95,40-2,2,0,76,30,100000,2,31,76,0,0,253333333.33333334,29059326.29027116,253333333.33333334,29059326.29027116,0,1,40,2,1
2024-10-25,D0,d5,31,A9,5-95,40-2,3,0,71,30,100000,3,31,71,0,0,236666666.66666666,28087165.910587862,236666666.66666666,28087165.910587862,0,1,40,2,1
2024-10-25,D0,d5,31,B1,95-5,40-8,1,60,5,30,100000,1,31,65,200000000,25819888.974716116,16666666.666666666,7453559.924999299,216666666.66666666,26874192.4943285,0.9230769230769231,0.07692307692307693,40,8,0.07692307692307693
2024-10-25,D0,d5,31,B2,95-5,40-8,2,59,1,30,100000,2,31,60,196666666.66666666,25603819.159562025,3333333.3333333335,3333333.3333333335,200000000,25819888.974716116,0.9833333333333333,0.016666666666666666,40,8,0.016666666666666666
2024-10-25,D0,d5,31,B3,95-5,40-8,3,52,3,30,100000,3,31,55,173333333.33333334,24037008.503093258,10000000,5773502.691896257,183333333.33333334,24720661.62365221,0.9454545454545454,0.05454545454545454,40,8,0.05454545454545454
2024-10-25,D0,d5,31,B4,50-50,40-8,1,10,13,30,100000,1,31,23,33333333.333333332,10540925.533894598,43333333.333333336,12018504.251546629,76666666.66666667,15986105.077709062,0.43478260869565216,0.5652173913043478,40,8,0.5652173913043478
2024-10-25,D0,d5,31,B5,50-50,40-8,2,9,11,30,100000,2,31,20,30000000,10000000,36666666.666666664,11055415.967851333,66666666.666666664,14907119.849998599,0.45,0.55,40,8,0.55
2024-10-25,D0,d5,31,B6,50-50,40-8,3,12,9,30,100000,3,31,21,40000000,11547005.383792514,30000000,10000000,70000000,15275252.316519467,0.5714285714285714,0.42857142857142855,40,8,0.42857142857142855
2024-10-25,D0,d5,31,B7,5-95,40-8,1,0,36,30,100000,1,31,36,0,0,120000000,20000000,120000000,20000000,0,1,40,8,1
2024-10-25,D0,d5,31,B8,5-95,40-8,2,3,27,30,100000,2,31,30,10000000,5773502.691896257,90000000,17320508.075688772,100000000,18257418.583505537,0.1,0.9,40,8,0.9
2024-10-25,D0,d5,31,B9,5-95,40-8,3,2,30,30,100000,3,31,32,6666666.666666667,4714045.207910317,100000000,18257418.583505537,106666666.66666667,18856180.831641268,0.0625,0.9375,40,8,0.9375
2024-10-25,D0,d5,31,C1,95-5,40-39,1,57,0,30,100000,1,31,57,190000000,25166114.784235835,0,0,190000000,25166114.784235835,1,0,40,39,1
2024-10-25,D0,d5,31,C10,100,8,1,27,0,30,100000,1,31,27,90000000,17320508.075688772,0,0,90000000,17320508.075688772,1,0,8,8,1
2024-10-25,D0,d5,31,C11,100,8,2,22,0,30,100000,2,31,22,73333333.33333333,15634719.199411433,0,0,73333333.33333333,15634719.199411433,1,0,8,8,1
2024-10-25,D0,d5,31,C12,100,8,3,16,0,30,100000,3,31,16,53333333.333333336,13333333.333333334,0,0,53333333.333333336,13333333.333333334,1,0,8,8,1
2024-10-25,D0,d5,31,C2,95-5,40-39,2,66,2,30,100000,2,31,68,220000000,27080128.015453205,6666666.666666667,4714045.207910317,226666666.66666666,27487370.837451074,0.9705882352941176,0.029411764705882353,40,39,0.9705882352941176
2024-10-25,D0,d5,31,C3,95-5,40-39,3,66,2,30,100000,3,31,68,220000000,27080128.015453205,6666666.666666667,4714045.207910317,226666666.66666666,27487370.837451074,0.9705882352941176,0.029411764705882353,40,39,0.9705882352941176
2024-10-25,D0,d5,31,C4,50-50,40-39,1,14,7,30,100000,1,31,21,46666666.666666664,12472191.28924647,23333333.333333332,8819171.03688197,70000000,15275252.316519467,0.6666666666666666,0.3333333333333333,40,39,0.6666666666666666
2024-10-25,D0,d5,31,C5,50-50,40-39,2,23,18,30,100000,2,31,41,76666666.66666667,15986105.077709062,60000000,14142135.62373095,136666666.66666666,21343747.458109498,0.5609756097560976,0.43902439024390244,40,39,0.5609756097560976
2024-10-25,D0,d5,31,C6,50-50,40-39,3,14,7,30,100000,3,31,21,46666666.666666664,12472191.28924647,23333333.333333332,8819171.03688197,70000000,15275252.316519467,0.6666666666666666,0.3333333333333333,40,39,0.6666666666666666
2024-10-25,D0,d5,31,C7,5-95,40-39,1,6,27,30,100000,1,31,33,20000000,8164965.80927726,90000000,17320508.075688772,110000000,19148542.15512676,0.18181818181818182,0.8181818181818182,40,39,0.18181818181818182
2024-10-25,D0,d5,31,C8,5-95,40-39,2,4,47,30,100000,2,31,51,13333333.333333334,6666666.666666667,156666666.66666666,22852182.001336813,170000000,23804761.428476166,0.0784313725490196,0.9215686274509803,40,39,0.0784313725490196
2024-10-25,D0,d5,31,C9,5-95,40-39,3,4,42,30,100000,3,31,46,13333333.333333334,6666666.666666667,140000000,21602468.99469287,153333333.33333334,22607766.61041756,0.08695652173913043,0.9130434782608695,40,39,0.08695652173913043
2024-10-25,D0,d5,31,D1,95-5,40-II.F2,1,51,4,30,100000,1,31,55,170000000,23804761.428476166,13333333.333333334,6666666.666666667,183333333.33333334,24720661.62365221,0.9272727272727272,0.07272727272727272,40,II.F2,0.9272727272727272
