"","row","col","od","well","filename","date_of_plating","day_ID","salinity","competition","pair","bio_rep"
"1","A",1,0.469799995422363,"A1","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-2","1"
"2","A",1,0.469799995422363,"A1","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-2","1"
"3","A",1,0.469799995422363,"A1","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-2","1"
"4","A",2,0.496399998664856,"A2","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-2","2"
"5","A",2,0.496399998664856,"A2","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-2","2"
"6","A",2,0.496399998664856,"A2","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-2","2"
"7","A",3,0.460999995470047,"A3","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-2","3"
"8","A",3,0.460999995470047,"A3","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-2","3"
"9","A",3,0.460999995470047,"A3","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-2","3"
"10","A",4,0.0962999984622002,"A4","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-2","1"
"11","A",4,0.0962999984622002,"A4","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-2","1"
"12","A",4,0.0962999984622002,"A4","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-2","1"
"13","A",5,0.0988999977707863,"A5","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-2","2"
"14","A",5,0.0988999977707863,"A5","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-2","2"
"15","A",5,0.0988999977707863,"A5","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-2","2"
"16","A",6,0.0961000025272369,"A6","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-2","3"
"17","A",6,0.0961000025272369,"A6","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-2","3"
"18","A",6,0.0961000025272369,"A6","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-2","3"
"19","A",7,0.046900000423193,"A7","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-2","1"
"20","A",7,0.046900000423193,"A7","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-2","1"
"21","A",7,0.046900000423193,"A7","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-2","1"
"22","A",8,0.0474000014364719,"A8","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-2","2"
"23","A",8,0.0474000014364719,"A8","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-2","2"
"24","A",8,0.0474000014364719,"A8","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-2","2"
"25","A",9,0.0476999990642071,"A9","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-2","3"
"26","A",9,0.0476999990642071,"A9","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-2","3"
"27","A",9,0.0476999990642071,"A9","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-2","3"
"28","A",10,0.0474999994039536,"A10","2024-10-25_initOD",2024-10-25,"D0","16","100","2","1"
"29","A",10,0.0474999994039536,"A10","2024-10-25_initOD",2024-10-25,"D0","16","100","2","1"
"30","A",10,0.0474999994039536,"A10","2024-10-25_initOD",2024-10-25,"D0","16","100","2","1"
"31","A",11,0.047800000756979,"A11","2024-10-25_initOD",2024-10-25,"D0","16","100","2","2"
"32","A",11,0.047800000756979,"A11","2024-10-25_initOD",2024-10-25,"D0","16","100","2","2"
"33","A",11,0.047800000756979,"A11","2024-10-25_initOD",2024-10-25,"D0","16","100","2","2"
"34","A",12,0.0472000017762184,"A12","2024-10-25_initOD",2024-10-25,"D0","16","100","2","3"
"35","A",12,0.0472000017762184,"A12","2024-10-25_initOD",2024-10-25,"D0","16","100","2","3"
"36","A",12,0.0472000017762184,"A12","2024-10-25_initOD",2024-10-25,"D0","16","100","2","3"
"37","B",1,0.362500011920929,"B1","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-8","1"
"38","B",1,0.362500011920929,"B1","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-8","1"
"39","B",1,0.362500011920929,"B1","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-8","1"
"40","B",2,0.405000001192093,"B2","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-8","2"
"41","B",2,0.405000001192093,"B2","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-8","2"
"42","B",2,0.405000001192093,"B2","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-8","2"
"43","B",3,0.356200009584427,"B3","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-8","3"
"44","B",3,0.356200009584427,"B3","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-8","3"
"45","B",3,0.356200009584427,"B3","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-8","3"
"46","B",4,0.0843999981880188,"B4","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-8","1"
"47","B",4,0.0843999981880188,"B4","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-8","1"
"48","B",4,0.0843999981880188,"B4","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-8","1"
"49","B",5,0.0907000005245209,"B5","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-8","2"
"50","B",5,0.0907000005245209,"B5","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-8","2"
"51","B",5,0.0907000005245209,"B5","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-8","2"
"52","B",6,0.0886000022292137,"B6","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-8","3"
"53","B",6,0.0886000022292137,"B6","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-8","3"
"54","B",6,0.0886000022292137,"B6","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-8","3"
"55","B",7,0.0472000017762184,"B7","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-8","1"
"56","B",7,0.0472000017762184,"B7","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-8","1"
"57","B",7,0.0472000017762184,"B7","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-8","1"
"58","B",8,0.0472999997437,"B8","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-8","2"
"59","B",8,0.0472999997437,"B8","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-8","2"
"60","B",8,0.0472999997437,"B8","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-8","2"
"61","B",9,0.0472000017762184,"B9","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-8","3"
"62","B",9,0.0472000017762184,"B9","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-8","3"
"63","B",9,0.0472000017762184,"B9","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-8","3"
"64","C",1,0.638199985027313,"C1","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-39","1"
"65","C",1,0.638199985027313,"C1","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-39","1"
"66","C",1,0.638199985027313,"C1","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-39","1"
"67","C",2,0.570699989795685,"C2","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-39","2"
"68","C",2,0.570699989795685,"C2","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-39","2"
"69","C",2,0.570699989795685,"C2","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-39","2"
"70","C",3,0.559599995613098,"C3","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-39","3"
"71","C",3,0.559599995613098,"C3","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-39","3"
"72","C",3,0.559599995613098,"C3","2024-10-25_initOD",2024-10-25,"D0","16","95-5","40-39","3"
"73","C",4,0.121699996292591,"C4","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-39","1"
"74","C",4,0.121699996292591,"C4","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-39","1"
"75","C",4,0.121699996292591,"C4","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-39","1"
"76","C",5,0.117899999022484,"C5","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-39","2"
"77","C",5,0.117899999022484,"C5","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-39","2"
"78","C",5,0.117899999022484,"C5","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-39","2"
"79","C",6,0.115000002086163,"C6","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-39","3"
"80","C",6,0.115000002086163,"C6","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-39","3"
"81","C",6,0.115000002086163,"C6","2024-10-25_initOD",2024-10-25,"D0","16","50-50","40-39","3"
"82","C",7,0.0467000007629395,"C7","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-39","1"
"83","C",7,0.0467000007629395,"C7","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-39","1"
"84","C",7,0.0467000007629395,"C7","2024-10-25_initOD",2024-10-25,"D0","16","5-95","40-39","1"
