well,well_row,well_salt,isolate_id,min_dens,max_dens,dens_diff,lag_time,max_percap,max_percap_time,measurement_date,plate_id,orig_plate_id,include_plate,exclusion_reason,plate_reader,media_date,exclude_wells,well_notes,experiment_notes,plate_date,inoc,plate_temperature,plate_salinity,plate_storage,morphology,color,sanger,class,order,family,genus,species,name,exp_id,replicate
A1,A,0,5,0.08462857348578316,0.08508571343762535,4.571399518421837e-4,NA,0,NA,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,media from 05/16,D7,fucus,15C,46,-,black,black,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica,Pseudoalteromonas arctica,2023-05-18_1,2023-05-18_1
A10,A,65,5,0.08661428413220815,0.9076571379389081,0.8210428538067,4.2803150647592965,0.9152358243287376,6.700722222222222,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,media from 05/16,D7,fucus,15C,46,-,black,black,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica,Pseudoalteromonas arctica,2023-05-18_1,2023-05-18_1
A11,A,80,5,0.08671428582498006,1.1577285868780953,1.0710143010531152,5.945819369512076,0.7524736154311223,9.651055555555557,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,media from 05/16,D7,fucus,15C,46,-,black,black,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica,Pseudoalteromonas arctica,2023-05-18_1,2023-05-18_1
A12,A,100,5,0.0868000015616417,1.086214303970337,0.9994143024086952,8.41798532785173,0.4541843084716026,14.501555555555555,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,media from 05/16,D7,fucus,15C,46,-,black,black,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica,Pseudoalteromonas arctica,2023-05-18_1,2023-05-18_1
A2,A,5,5,0.08532857043402535,0.7120142919676644,0.6266857215336391,13.205995541979462,0.4873942870279429,19.702416666666664,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,media from 05/16,D7,fucus,15C,46,-,black,black,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica,Pseudoalteromonas arctica,2023-05-18_1,2023-05-18_1
A3,A,15,5,0.08615714098726,0.9288857153483799,0.8427285743611199,5.598416934525526,1.0357942959215765,8.600944444444444,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,media from 05/16,D7,fucus,15C,46,-,black,black,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica,Pseudoalteromonas arctica,2023-05-18_1,2023-05-18_1
A4,A,20,5,0.08555714466742106,0.9851428610937936,0.8995857164263725,4.239779635311921,1.0969634211522685,7.550805555555556,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,media from 05/16,D7,fucus,15C,46,-,black,black,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica,Pseudoalteromonas arctica,2023-05-18_1,2023-05-18_1
A5,A,30,5,0.08778571337461472,1.131500005722046,1.0437142923474312,4.161678753432518,1.019073321285163,6.4006944444444445,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,media from 05/16,D7,fucus,15C,46,-,black,black,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica,Pseudoalteromonas arctica,2023-05-18_1,2023-05-18_1
A6,A,35,5,0.08715714301381793,1.2876428706305367,1.200485727616719,3.88271653791006,1.0213468703460882,6.200666666666667,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,media from 05/16,D7,fucus,15C,46,-,black,black,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica,Pseudoalteromonas arctica,2023-05-18_1,2023-05-18_1
A7,A,40,5,0.08675714262894221,1.0160714387893677,0.9293142961604255,3.907773839206542,1.037685253146394,6.150666666666667,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,media from 05/16,D7,fucus,15C,46,-,black,black,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica,Pseudoalteromonas arctica,2023-05-18_1,2023-05-18_1
A8,A,45,5,0.0871714289699282,1.380071452685765,1.2929000237158368,4.11757265673195,0.9847773807166245,6.5507222222222214,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,media from 05/16,D7,fucus,15C,46,-,black,black,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica,Pseudoalteromonas arctica,2023-05-18_1,2023-05-18_1
A9,A,50,5,0.08765714402709689,1.3396285602024622,1.2519714161753654,4.409761535446663,0.925197212494201,6.700722222222222,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,media from 05/16,D7,fucus,15C,46,-,black,black,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,arctica,Pseudoalteromonas arctica,2023-05-18_1,2023-05-18_1
B1,B,0,9,0.08577142762286323,0.08642856989588056,6.571422730173304e-4,NA,0,NA,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,NA,D7,nahant,15C,31,-,light pink structured,pink,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,Pseudoalteromonas NA,2023-05-18_1,2023-05-18_1
B10,B,65,9,0.08595714398792811,0.9518000057765416,0.8658428617886135,6.752069938045855,1.0956947668547907,10.651166666666667,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,NA,D7,nahant,15C,31,-,light pink structured,pink,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,Pseudoalteromonas NA,2023-05-18_1,2023-05-18_1
B11,B,80,9,0.08667142689228058,1.331857136317662,1.2451857094253813,7.831146941575196,0.6685372730178784,14.101527777777777,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,NA,D7,nahant,15C,31,-,light pink structured,pink,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,Pseudoalteromonas NA,2023-05-18_1,2023-05-18_1
B12,B,100,9,0.08590000122785568,1.1285857132502966,1.0426857120224409,10.651527893869524,0.4744665158860422,16.35175,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,NA,D7,nahant,15C,31,-,light pink structured,pink,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,Pseudoalteromonas NA,2023-05-18_1,2023-05-18_1
B2,B,5,9,0.08494285706962858,0.21651428512164525,0.13157142805201666,9.973202924981422,0.2414915597020857,23.65286111111111,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,NA,D7,nahant,15C,31,-,light pink structured,pink,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,Pseudoalteromonas NA,2023-05-18_1,2023-05-18_1
B3,B,15,9,0.08572857188326972,1.1334714378629411,1.0477428659796715,7.568801863515326,0.8055999058121242,12.601361111111112,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,NA,D7,nahant,15C,31,-,light pink structured,pink,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,Pseudoalteromonas NA,2023-05-18_1,2023-05-18_1
B4,B,20,9,0.08627142863614219,1.2570857150214059,1.1708142863852637,7.234492361412639,1.0757911818679,10.951194444444445,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,NA,D7,nahant,15C,31,-,light pink structured,pink,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,Pseudoalteromonas NA,2023-05-18_1,2023-05-18_1
B5,B,30,9,0.08761428615876607,1.2634142637252808,1.1757999775665147,7.161101868557322,1.3911319733408523,9.501027777777777,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,NA,D7,nahant,15C,31,-,light pink structured,pink,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,Pseudoalteromonas NA,2023-05-18_1,2023-05-18_1
B6,B,35,9,0.08762857211487633,1.291342854499817,1.2037142823849405,7.102590759192049,1.3994290971110055,9.401027777777777,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,NA,D7,nahant,15C,31,-,light pink structured,pink,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,Pseudoalteromonas NA,2023-05-18_1,2023-05-18_1
B7,B,40,9,0.08708571323326655,1.3461000067847115,1.259014293551445,7.03254764797273,1.3703479815730837,9.501027777777777,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,NA,D7,nahant,15C,31,-,light pink structured,pink,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,Pseudoalteromonas NA,2023-05-18_1,2023-05-18_1
B8,B,45,9,0.08719999981778008,1.3480714218957084,1.2608714220779282,7.252827695505052,1.3524804412641007,9.701055555555556,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,NA,D7,nahant,15C,31,-,light pink structured,pink,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,Pseudoalteromonas NA,2023-05-18_1,2023-05-18_1
B9,B,50,9,0.08591428718396596,1.3745285613196236,1.2886142741356577,7.133877764470922,1.270658612031073,10.151111111111112,2023-05-18,1,NA,TRUE,NA,NA,2023-05-16,NA,NA,NA,D7,nahant,15C,31,-,light pink structured,pink,x,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,Pseudoalteromonas NA,2023-05-18_1,2023-05-18_1
